t_stamp;P1_STATE;LIT101.Pv;FIT101.Pv;MV101.Status;P101.Status;P102.Status;P2_STATE;FIT201.Pv;AIT201.Pv;AIT202.Pv;AIT203.Pv;MV201.Status;P201.Status;P202.Status;P203.Status;P204.Status;P205.Status;P206.Status;P207.Status;P208.Status;LS201.Alarm;LS202.Alarm;LSL203.Alarm;LSLL203.Alarm;P3_STATE;AIT301.Pv;AIT302.Pv;AIT303.Pv;LIT301.Pv;FIT301.Pv;DPIT301.Pv;MV301.Status;MV302.Status;MV303.Status;MV304.Status;P301.Status;P302.Status;PSH301.Alarm;DPSH301.Alarm;P4_STATE;LIT401.Pv;FIT401.Pv;AIT401.Pv;AIT402.Pv;P401.Status;P402.Status;P403.Status;P404.Status;UV401.Status;LS401.Alarm;P5_STATE;FIT501.Pv;FIT502.Pv;FIT503.Pv;FIT504.Pv;AIT501.Pv;AIT502.Pv;AIT503.Pv;AIT504.Pv;PIT501.Pv;PIT502.Pv;PIT503.Pv;P501.Status;P502.Status;MV501.Status;MV502.Status;MV503.Status;MV504.Status;PSH501.Alarm;PSL501.Alarm;P6_STATE;FIT601.Pv;P601.Status;P602.Status;P603.Status;LSH601.Alarm;LSL601.Alarm;LSH602.Alarm;LSL602.Alarm;LSH603.Alarm;LSL603.Alarm
26/2/2020 14:40;1;816.9284;0;1;1;1;1;0.000384455;60.8177376;8.293579;162.599335;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.818817;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.451935;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.548828;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.7321;0;1;1;1;1;0.000384455;60.8177376;8.29454;162.599335;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.895645;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.4904;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.548828;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.9284;0;1;1;1;1;0.000384455;60.8177376;8.29454;162.599335;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.451935;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.548828;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.88916;0;1;1;1;1;0.000384455;60.8177376;8.295822;162.599335;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.144318;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.548828;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.8499;0;1;1;1;1;0.000384455;60.8177376;8.298706;162.599335;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.259674;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.548828;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.88916;0;1;1;1;1;0.000384455;60.8177376;8.298706;162.471161;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58780956;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.375031;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.39502;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;817.0854;0;1;1;1;1;0.000384455;60.8177376;8.298706;162.394257;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.58697748;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.144318;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.39502;96.4816742;4.921815;44.7000771;28.06523;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.8499;0;1;1;1;1;0.000384455;60.8177376;8.298706;162.394257;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.581151;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.375031;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.39502;96.4816742;4.921815;44.7000771;28.19338;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.9284;0;1;1;1;1;0.000384455;60.913868;8.298706;162.394257;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.57865429;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.4904;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.39502;96.4816742;4.921815;44.7000771;28.19338;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
26/2/2020 14:40;1;816.7321;0;1;1;1;1;0.000384455;60.913868;8.298706;162.394257;1;1;1;1;1;1;1;1;1;Inactive;Inactive;Inactive;Inactive;1;7.57782173;169.921249;78.6542;1009.87732;0.000640553;2.989948;1;1;1;1;1;1;Inactive;Inactive;1;487.336578;0.000896344;0;0;1;1;1;1;1;Inactive;1;0.002307101;0.001793263;0.001664373;0;7.45020533;159.39502;96.4816742;4.921815;44.7000771;28.19338;40.2941551;1;1;1;1;1;1;Inactive;Inactive;1;0.000320379;1;1;1;Active;Inactive;Active;Inactive;Inactive;Active
